cdmTableName,cdmFieldName,isRequired,isRequiredThreshold,isRequiredNotes,cdmDatatype,cdmDatatypeThreshold,cdmDatatypeNotes,userGuidance,etlConventions,isPrimaryKey,isPrimaryKeyThreshold,isPrimaryKeyNotes,isForeignKey,isForeignKeyThreshold,isForeignKeyNotes,fkTableName,fkFieldName,fkDomain,fkDomainThreshold,fkDomainNotes,fkClass,fkClassThreshold,fkClassNotes,isStandardValidConcept,isStandardValidConceptThreshold,isStandardValidConceptNotes,measureValueCompleteness,measureValueCompletenessThreshold,measureValueCompletenessNotes,standardConceptRecordCompleteness,standardConceptRecordCompletenessThreshold,standardConceptRecordCompletenessNotes,sourceConceptRecordCompleteness,sourceConceptRecordCompletenessThreshold,sourceConceptRecordCompletenessNotes,sourceValueCompleteness,sourceValueCompletenessThreshold,sourceValueCompletenessNotes,standardConceptFieldName,plausibleValueLow,plausibleValueLowThreshold,plausibleValueLowNotes,plausibleValueHigh,plausibleValueHighThreshold,plausibleValueHighNotes,plausibleTemporalAfter,plausibleTemporalAfterTableName,plausibleTemporalAfterFieldName,plausibleTemporalAfterThreshold,plausibleTemporalAfterNotes,plausibleDuringLife,plausibleDuringLifeThreshold,plausibleDuringLifeNotes,runForCohort,withinVisitDates,withinVisitDatesThreshold,withinVisitDatesNotes
CARE_SITE,care_site_id,Yes,0,,integer,0,,,Assign an id to each unique combination of location_id and place_of_service_source_value,Yes,0,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,No,,,No,,,
CARE_SITE,care_site_name,No,,,varchar(255),0,,The name of the care_site as it appears in the source data,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,No,,,No,,,
CARE_SITE,care_site_source_value,No,,,varchar(50),0,,The identifier of the care_site as it appears in the source data. This could be an identifier separate from the name of the care_site.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,No,,,No,,,
CARE_SITE,location_id,No,,,integer,0,,The location_id from the LOCATION table representing the physical location of the care_site.,,No,,,Yes,0,,LOCATION,LOCATION_ID,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,No,,,No,,,
CARE_SITE,place_of_service_concept_id,No,,,integer,0,,"This is a high-level way of characterizing a Care Site. Typically, however, Care Sites can provide care in multiple settings (inpatient, outpatient, etc.) and this granularity should be reflected in the visit.","Choose the concept in the visit domain that best represents the setting in which healthcare is provided in the Care Site. If most visits in a Care Site are Inpatient, then the place_of_service_concept_id should represent Inpatient. If information is present about a unique Care Site (e.g. Pharmacy) then a Care Site record should be created. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Visit&standardConcept=Standard&page=2&pageSize=15&query=).",No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,Yes,0,,Yes,100,,Yes,100,,No,,,No,,,,,,,,,,,,,,,No,,,No,,,
CARE_SITE,place_of_service_source_value,No,,,varchar(50),0,,,Put the place of service of the care_site as it appears in the source data.,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,No,,,No,,,
CDM_SOURCE,cdm_etl_reference,No,,,varchar(255),0,,,Put the link to the CDM version used.,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_holder,Yes,0,,varchar(255),0,,The holder of the CDM instance.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_release_date,Yes,0,,date,0,,The release data of the CDM instance.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,'2000-01-01',1,,"DATEADD(dd,1,GETDATE())",1,,Yes,CDM_SOURCE,SOURCE_RELEASE_DATE,0,,,,,,,,
CDM_SOURCE,cdm_source_abbreviation,Yes,0,,varchar(25),0,,The abbreviation of the CDM instance.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_source_name,Yes,0,,varchar(255),0,,The name of the CDM instance.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_version,No,,,varchar(10),0,,,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_version_concept_id,Yes,0,,integer,0,,The Concept Id representing the version of the CDM.,,No,,,Yes,0,,CONCEPT,CONCEPT_ID,Metadata,0,,,,,Yes,0,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,source_description,No,,,varchar(MAX),0,,The description of the CDM instance.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,source_documentation_reference,No,,,varchar(255),0,,,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,source_release_date,Yes,0,,date,0,,The release date of the source data.,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,'2000-01-01',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,,,,
CDM_SOURCE,vocabulary_version,Yes,0,,varchar(20),0,,,,No,,,No,,,,,,,,,,,No,,,Yes,100,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT,cohort_definition_id,Yes,0,,integer,0,,,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT,cohort_end_date,Yes,0,,date,0,,,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,'1950-01-01',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,,,,
COHORT,cohort_start_date,Yes,0,,date,0,,,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,'1950-01-01',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,,,,
COHORT,subject_id,Yes,0,,integer,0,,,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_description,No,,,varchar(MAX),0,,A complete description of the cohort.,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_id,Yes,0,,integer,0,,"This is the identifier given to the cohort, usually by the ATLAS application",,No,,,Yes,0,,COHORT,COHORT_DEFINITION_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_name,Yes,0,,varchar(255),0,,A short description of the cohort,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_syntax,No,,,varchar(MAX),0,,Syntax or code to operationalize the Cohort Definition.,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_initiation_date,No,,,date,0,,A date to indicate when the Cohort was initiated in the COHORT table.,,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,definition_type_concept_id,Yes,0,,integer,0,,Type defining what kind of Cohort Definition the record represents and how the syntax may be executed.,,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,Yes,0,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,subject_concept_id,Yes,0,,integer,0,,"This field contains a Concept that represents the domain of the subjects that are members of the cohort (e.g., Person, Provider, Visit).",,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,Yes,0,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_class_id,Yes,0,,varchar(20),0,,"The attribute or concept class of the
Concept. Examples are 'Clinical Drug',
'Ingredient', 'Clinical Finding' etc.",,No,,,Yes,0,,CONCEPT_CLASS,CONCEPT_CLASS_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_code,Yes,0,,varchar(50),0,,"The concept code represents the identifier
of the Concept in the source vocabulary,
such as SNOMED-CT concept IDs,
RxNorm RXCUIs etc. Note that concept
codes are not unique across vocabularies.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_id,Yes,0,,integer,0,,A unique identifier for each Concept across all domains.,,Yes,0,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_name,Yes,0,,varchar(255),0,,"An unambiguous, meaningful and descriptive name for the Concept.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,domain_id,Yes,0,,varchar(20),0,,A foreign key to the [DOMAIN](https://ohdsi.github.io/CommonDataModel/cdm531.html#domain) table the Concept belongs to.,,No,,,Yes,0,,DOMAIN,DOMAIN_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,invalid_reason,No,,,varchar(1),0,,"Reason the Concept was invalidated.
Possible values are D (deleted), U
(replaced with an update) or NULL when
valid_end_date has the default value.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,standard_concept,No,,,varchar(1),0,,"This flag determines where a Concept is
a Standard Concept, i.e. is used in the
data, a Classification Concept, or a
non-standard Source Concept. The
allowable values are 'S' (Standard
Concept) and 'C' (Classification
Concept), otherwise the content is NULL.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,valid_end_date,Yes,0,,date,0,,"The date when the Concept became
invalid because it was deleted or
superseded (updated) by a new concept.
The default value is 31-Dec-2099,
meaning, the Concept is valid until it
becomes deprecated.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,Yes,CONCEPT,VALID_START_DATE,0,,,,,,,,
CONCEPT,valid_start_date,Yes,0,,date,0,,"The date when the Concept was first
recorded. The default value is
1-Jan-1970, meaning, the Concept has no
(known) date of inception.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT,vocabulary_id,Yes,0,,varchar(20),0,,"A foreign key to the [VOCABULARY](https://ohdsi.github.io/CommonDataModel/cdm531.html#vocabulary)
table indicating from which source the
Concept has been adapted.",,No,,,Yes,0,,VOCABULARY,VOCABULARY_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_ANCESTOR,ancestor_concept_id,Yes,0,,integer,0,,"The Concept Id for the higher-level concept
that forms the ancestor in the relationship.",,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_ANCESTOR,descendant_concept_id,Yes,0,,integer,0,,"The Concept Id for the lower-level concept
that forms the descendant in the
relationship.",,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_ANCESTOR,max_levels_of_separation,Yes,0,,integer,0,,"The maximum separation in number of
levels of hierarchy between ancestor and
descendant concepts. This is an attribute
that is used to simplify hierarchic analysis.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_ANCESTOR,min_levels_of_separation,Yes,0,,integer,0,,"The minimum separation in number of
levels of hierarchy between ancestor and
descendant concepts. This is an attribute
that is used to simplify hierarchic analysis.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_CLASS,concept_class_concept_id,Yes,0,,integer,0,,A Concept that represents the Concept Class.,,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_CLASS,concept_class_id,Yes,0,,varchar(20),0,,A unique key for each class.,,Yes,0,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_CLASS,concept_class_name,Yes,0,,varchar(255),0,,"The name describing the Concept Class, e.g.
Clinical Finding, Ingredient, etc.",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_RELATIONSHIP,concept_id_1,Yes,0,,integer,0,,,,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_RELATIONSHIP,concept_id_2,Yes,0,,integer,0,,,,No,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
CONCEPT_RELATIONSHIP,invalid_reason,No,,,varchar(1),0,,"Reason the relationship was invalidated. Possible values are 'D' (deleted), 'U' (updated) or NULL. ",,No,,,No,,,,,,,,,,,No,,,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,
