cdmTableName,cdmFieldName,conceptId,conceptName,unitConceptId,unitConceptName,plausibleValueLow,plausibleValueLowThreshold,plausibleValueLowNotes,plausibleValueHigh,plausibleValueHighThreshold,plausibleValueHighNotes,plausibleGender,plausibleGenderUseDescendants,plausibleGenderThreshold,plausibleGenderUseDescendantsThreshold,plausibleGenderNotes,isTemporallyConstant,isTemporallyConstantThreshold,isTemporallyConstantNotes,validPrevalenceLow,validPrevalenceLowThreshold,validPrevalenceLowNotes,validPrevalenceHigh,validPrevalenceHighThreshold,validPrevalenceHighNotes,plausibleUnitConceptIds,plausibleUnitConceptIdsThreshold,plausibleUnitConceptIdsNotes
VISIT_OCCURRENCE,VISIT_CONCEPT_ID,9201,Inpatient visit,,,,,,,,,,,,,,Yes,,,,,,,,,,,
VISIT_OCCURRENCE,VISIT_CONCEPT_ID,9202,Outpatient visit,,,,,,,,,,,,,,Yes,,,,,,,,,,,
VISIT_OCCURRENCE,VISIT_CONCEPT_ID,9203,ER visit,,,,,,,,,,,,,,Yes,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,26662,Testicular hypofunction,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,26935,Disorder of endocrine testis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,30969,Testicular hyperfunction,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,73801,Scrotal varices,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,74322,Benign neoplasm of scrotum,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,78193,Orchitis and epididymitis,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,79758,Primary malignant neoplasm of scrotum,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,80180,Osteoarthritis,,,,,,,,,,,,,,Yes,,,0.0584,,,0.5252,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,80809,Rheumatoid arthritis,,,,,,,,,,,,,,Yes,,,0.0045,,,0.0405,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,81893,Ulcerative colitis,,,,,,,,,,,,,,Yes,,,0.0014,,,0.0128,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,81902,Urinary tract infectious disease,,,,,,,,,,,,,,Yes,,,0.0412,,,0.371,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,140168,Psoriasis,,,,,,,,,,,,,,Yes,,,0.0055,,,0.0494,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,141917,Balanitis xerotica obliterans,,,,,,,,,Male,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,192367,Dysplasia of cervix,,,,,,,,,Female,,5,,,,,,,,,,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,192671,Gastrointestinal hemorrhage,,,,,,,,,,,,,,Yes,,,0.0135,,,0.1219,,,,,
CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID,192676,Cervical intraepithelial neoplasia grade 1,,,,,,,,,Female,,5,,,,,,,,,,,,,,
