cdmTableName,cdmFieldName,isRequired,isRequiredThreshold,isRequiredNotes,cdmDatatype,cdmDatatypeThreshold,cdmDatatypeNotes,isPrimaryKey,isPrimaryKeyThreshold,isPrimaryKeyNotes,isForeignKey,isForeignKeyThreshold,isForeignKeyNotes,fkTableName,fkFieldName,fkDomain,fkDomainThreshold,fkDomainNotes,fkClass,fkClassThreshold,fkClassNotes,isStandardValidConcept,isStandardValidConceptThreshold,isStandardValidConceptNotes,measureValueCompleteness,measureValueCompletenessThreshold,measureValueCompletenessNotes,standardConceptRecordCompleteness,standardConceptRecordCompletenessThreshold,standardConceptRecordCompletenessNotes,sourceConceptRecordCompleteness,sourceConceptRecordCompletenessThreshold,sourceConceptRecordCompletenessNotes,sourceValueCompleteness,sourceValueCompletenessThreshold,sourceValueCompletenessNotes,standardConceptFieldName,plausibleValueLow,plausibleValueLowThreshold,plausibleValueLowNotes,plausibleValueHigh,plausibleValueHighThreshold,plausibleValueHighNotes,plausibleTemporalAfter,plausibleTemporalAfterTableName,plausibleTemporalAfterFieldName,plausibleTemporalAfterThreshold,plausibleTemporalAfterNotes,plausibleDuringLife,plausibleDuringLifeThreshold,plausibleDuringLifeNotes,plausibleStartBeforeEnd,plausibleStartBeforeEndFieldName,plausibleStartBeforeEndThreshold,plausibleStartBeforeEndNotes,plausibleAfterBirth,plausibleAfterBirthThreshold,plausibleAfterBirthNotes,plausibleBeforeDeath,plausibleBeforeDeathThreshold,plausibleBeforeDeathNotes,withinVisitDates,withinVisitDatesThreshold,withinVisitDatesNotes
CARE_SITE,care_site_id,Yes,0,,integer,0,,Yes,0,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE_SITE,care_site_name,,,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE_SITE,care_site_source_value,,,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE_SITE,location_id,,,,integer,0,,,,,Yes,0,,LOCATION,LOCATION_ID,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE_SITE,place_of_service_concept_id,,,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,Yes,0,,Yes,100,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE_SITE,place_of_service_source_value,,,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_etl_reference,,,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_holder,Yes,0,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_release_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,'20000101',1,,"DATEADD(dd,1,GETDATE())",1,,Yes,CDM_SOURCE,SOURCE_RELEASE_DATE,0,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_release_identifier,,,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_source_abbreviation,Yes,0,,varchar(25),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_source_name,Yes,0,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_version,,,,varchar(10),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,cdm_version_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,Metadata,0,,,,,Yes,0,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,source_description,,,,varchar(MAX),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,source_documentation_reference,,,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDM_SOURCE,source_release_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,'20000101',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,Yes,SOURCE_RELEASE_DATE,0,,,,,,,,,,
CDM_SOURCE,vocabulary_version,Yes,0,,varchar(20),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT,cohort_definition_id,Yes,0,,integer,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT,cohort_end_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,'19500101',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,,,,,,,,,,,,,
COHORT,cohort_start_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,'19500101',1,,"DATEADD(dd,1,GETDATE())",1,,,,,,,,,,,,,,,,,,,,,,
COHORT,subject_id,Yes,0,,integer,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_description,,,,varchar(MAX),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_id,Yes,0,,integer,0,,,,,Yes,0,,COHORT,COHORT_DEFINITION_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_name,Yes,0,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_definition_syntax,,,,varchar(MAX),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,cohort_initiation_date,,,,date,0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,definition_type_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,Yes,0,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COHORT_DEFINITION,subject_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,Yes,0,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_class_id,Yes,0,,varchar(20),0,,,,,Yes,0,,CONCEPT_CLASS,CONCEPT_CLASS_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_code,Yes,0,,varchar(50),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_id,Yes,0,,integer,0,,Yes,0,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,concept_name,Yes,0,,varchar(255),0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,domain_id,Yes,0,,varchar(20),0,,,,,Yes,0,,DOMAIN,DOMAIN_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,invalid_reason,,,,varchar(1),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,standard_concept,,,,varchar(1),0,,,,,,,,,,,,,,,,,,,Yes,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT,valid_end_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,Yes,CONCEPT,VALID_START_DATE,0,,,,,,,,,,,,,,,,,
CONCEPT,valid_start_date,Yes,0,,date,0,,,,,,,,,,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VALID_END_DATE,0,,,,,,,,,,
CONCEPT,vocabulary_id,Yes,0,,varchar(20),0,,,,,Yes,0,,VOCABULARY,VOCABULARY_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPT_ANCESTOR,ancestor_concept_id,Yes,0,,integer,0,,,,,Yes,0,,CONCEPT,CONCEPT_ID,,,,,,,,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
